2015-12-31,245.97918637653999
2015-10-31,250.06841203054
2015-02-28,242.64245460237998
2015-01-31,239.49101796407
2014-12-31,237.82438677567998
2014-11-30,243.56475842468998
2014-10-31,238.24786324785998
2014-09-30,238.24786324785998
2014-08-31,240.95295536791
2014-07-31,236.19266055046
2014-06-30,231.34582623509
2014-05-31,221.84510953409
2014-04-30,218.84005763688998
2014-03-31,211.10721793973
2014-02-28,211.45038167939
2014-01-31,209.17573872473
2013-12-31,201.23634272569998
2013-11-30,195.6
2013-10-31,199.4750656168
2013-09-30,194.72361809044997
2013-08-31,189.85419198056
2013-07-31,196.14825581395002
2013-06-30,195.21912350598
2013-05-31,197.95657726692002
2013-04-30,196.90040650406002
2013-03-31,187.61726078799
2013-02-28,183.42684505827
2013-01-31,179.42708333333
2012-12-31,181.87282505535998
2012-11-30,180.79800498753002
2012-10-31,184.98222748815
2012-09-30,184.0
2012-08-31,177.08661417323003
2012-07-31,169.46584488956998
2012-06-30,169.57013574661002
2012-05-31,163.16648531011998
2012-04-30,161.74603174603
2012-03-31,161.22311827957
2012-02-29,163.17854807063
2012-01-31,163.84976525821997
2011-12-31,164.5252272015
2011-11-30,162.7486437613
2011-10-31,169.03729401561
2011-09-30,160.07462686566998
2011-08-31,160.82949308756
2011-07-31,160.01219140506
2011-06-30,159.97740963855
2011-05-31,160.01219140506
2011-04-30,159.83417779825
2011-03-31,160.7234198027
2011-02-28,161.7873651772
2011-01-31,163.88758782201
2010-12-31,164.32953549518
2010-11-30,161.66666666667
2010-10-31,165.42155816435
2010-09-30,167.18032786885001
2010-08-31,167.09610027854998
2010-07-31,170.08212749316002
2010-06-30,171.41453831041
2010-05-31,170.82670906200002
2010-04-30,171.85430463576
2010-03-31,173.03846153846
2010-02-28,173.03846153846
2010-01-31,168.75
2009-12-31,173.03846153846
2009-11-30,173.70892018779
2009-10-31,176.17140568681998
2009-09-30,180.32128514056
2009-08-31,180.72858731924
2009-07-31,181.3488372093
2009-06-30,181.09152378652
2009-05-31,182.73092369478002
2009-04-30,185.14350028137002
2009-03-31,179.20054200542
2009-02-28,179.20054200542
2009-01-31,172.65680056378002
2008-12-31,177.3441459706
2008-11-30,172.65680056378002
2008-10-31,171.73913043478
